TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1596717162393	-2.471299	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717162393328000.png
1596717162648	-2.471299	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717162647849000.png
1596717162903	-2.471299	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717162903011000.png
1596717163156	-2.471299	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717163156476000.png
1596717163417	-1.308672	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717163417029000.png
1596717163682	-0.362422	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717163682179000.png
1596717163945	1.290137	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717163944849000.png
1596717164207	2.584199	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717164206668000.png
1596717164463	4.001631	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717164463349000.png
1596717164725	5.196553	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717164725338000.png
1596717164976	6.144336	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717164975847000.png
1596717165239	7.836474	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717165238669000.png
1596717165491	9.613564	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717165490965000.png
1596717165758	10.372842	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717165757716000.png
1596717166022	11.525596	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717166021704000.png
1596717166275	13.438457	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717166275192000.png
1596717166539	14.788525	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717166539114000.png
1596717166798	15.677773	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717166797605000.png
1596717167056	16.973017	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717167055775000.png
1596717167313	18.762363	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717167313142000.png
1596717167579	20.591728	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717167578850000.png
1596717167830	21.831640	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717167830415000.png
1596717168089	23.543592	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717168089256000.png
1596717168383	25.280565	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717168383176000.png
1596717168645	26.437391	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717168644534000.png
1596717168947	27.505547	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717168947019000.png
1596717169251	28.572041	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717169251010000.png
1596717169551	29.627508	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717169551265000.png
1596717169805	31.224804	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717169805254000.png
1596717170076	32.774052	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717170075905000.png
1596717170334	34.843758	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717170334401000.png
1596717170581	36.133350	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717170580682000.png
1596717170832	37.858212	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717170831498000.png
1596717171082	39.253876	0.000000	-13.876143	1.000000	0.000000	-0.000000	-0.000000	img_front_left_0_1596717171081996000.png
